,Date Created,Tweet ID,Tweet Content,URL
1,2023-05-29 11:39:48+00:00,1663148128638468099,Kuey Teow Kerang 😍,https://twitter.com/aimansalim_/status/1663148128638468099
1,2023-05-26 11:35:02+00:00,1662059768234807297,Nasi Bujang 🤤 ,https://twitter.com/aimansalim_/status/1662059768234807297
2,2023-05-24 11:35:13+00:00,1661335034966704129,Murtabak Maggi 😍 ,https://twitter.com/aimansalim_/status/1661335034966704129
6,2023-04-21 06:41:03+00:00,1649302206280257538,Rendang Daging Simple Tapi Perform 🤤 ,https://twitter.com/aimansalim_/status/1649302206280257538
15,2023-04-05 10:08:06+00:00,1643556108064419845,Test jap wendang dagin https://t.co/Kz3sqWbSC9,https://twitter.com/aimansalim_/status/1643556108064419845
16,2023-04-05 05:09:05+00:00,1643480856282161153,Bakso 😍🍲 https://t.co/OKgetOhgRt,https://twitter.com/aimansalim_/status/1643480856282161153
17,2023-04-04 05:57:45+00:00,1643130716597948416,Butter Chicken w/ Garlic Naan 🥘 https://t.co/ObVLn2WoPl,https://twitter.com/aimansalim_/status/1643130716597948416
19,2023-03-31 07:00:51+00:00,1641697044619460611,Sayur Campur Udang 😍 https://t.co/HHQO1ohjem,https://twitter.com/aimansalim_/status/1641697044619460611
24,2023-03-15 11:42:35+00:00,1635969738915581956,Singgang Ikan 🤤 https://t.co/KIse7GfxO6,https://twitter.com/aimansalim_/status/1635969738915581956
40,2023-03-03 11:45:09+00:00,1631621729394241537,Sambal Sardin 🤤 https://t.co/9vcLAHKz7O,https://twitter.com/aimansalim_/status/1631621729394241537
41,2023-03-01 04:21:39+00:00,1630785343858548737,Ayam Masak Lemak Cili Api 🤤 https://t.co/CsCOXUhEPT,https://twitter.com/aimansalim_/status/1630785343858548737
43,2023-02-27 11:47:02+00:00,1630172655298158592,Ayam Sambal Kicap 🤤 https://t.co/cswkIStkBa,https://twitter.com/aimansalim_/status/1630172655298158592
45,2023-02-25 11:15:30+00:00,1629439941167185923,Kangkung Belacan 🤤 https://t.co/XgUaJtKh1v,https://twitter.com/aimansalim_/status/1629439941167185923
48,2023-02-23 11:51:26+00:00,1628724208372154374,Ikan Keli Masak Lemak Cili Api 🤤 https://t.co/DiNrugQ6q3,https://twitter.com/aimansalim_/status/1628724208372154374
49,2023-02-15 08:14:26+00:00,1625770495085019140,Cucur Jagung Panas-Panas 😍 https://t.co/XGnAlJWa2F,https://twitter.com/aimansalim_/status/1625770495085019140
51,2023-02-12 10:52:13+00:00,1624723041837260800,Sup Ayam Healing 🍲 https://t.co/O8JNaFSVoo,https://twitter.com/aimansalim_/status/1624723041837260800
52,2023-02-08 11:51:08+00:00,1623288314936827904,Udang Buttermilk 🦐 https://t.co/44MS7eX34s,https://twitter.com/aimansalim_/status/1623288314936827904
53,2023-02-07 11:35:56+00:00,1622922101878583296,Udang best masak lauk apa gais? https://t.co/zuxj5sK9F1,https://twitter.com/aimansalim_/status/1622922101878583296
54,2023-02-07 10:59:41+00:00,1622912981679108096,Bihun Tomyam 🍜 https://t.co/S1KZmdmZJb,https://twitter.com/aimansalim_/status/1622912981679108096
60,2023-01-19 09:58:09+00:00,1616012125100732417,Nasi Putih Sambal Sotong 🤤 https://t.co/ZaAyhTbOVV,https://twitter.com/aimansalim_/status/1616012125100732417
62,2023-01-16 12:06:03+00:00,1614957148517048328,Bekal Untuk Isteri - Chicken Teriyaki 🍱 https://t.co/IykdvVslaj,https://twitter.com/aimansalim_/status/1614957148517048328
64,2023-01-13 11:00:27+00:00,1613853476290957315,Chicken Wrap Simple 🌯 https://t.co/kUI38Qabe3,https://twitter.com/aimansalim_/status/1613853476290957315
65,2023-01-12 11:53:05+00:00,1613504333714456578,Makaroni Goreng Simple 🤤 https://t.co/s0PZvfO3Lu,https://twitter.com/aimansalim_/status/1613504333714456578
66,2023-01-10 09:43:19+00:00,1612746900251475968,Bekal Untuk Isteri 🍱 https://t.co/5RPVc19afa,https://twitter.com/aimansalim_/status/1612746900251475968
69,2023-01-08 10:18:03+00:00,1612030868939485186,Ayam Masak Kicap 😍 https://t.co/IWSjQWd0Ox,https://twitter.com/aimansalim_/status/1612030868939485186
77,2022-12-20 10:49:31+00:00,1605153414845190144,Bihun Goweng 😍 https://t.co/pQUwykGoc7,https://twitter.com/aimansalim_/status/1605153414845190144
78,2022-12-17 12:09:45+00:00,1604086444439797760,Sambal Udang Petai 🦐 https://t.co/OhcRt6lF3c,https://twitter.com/aimansalim_/status/1604086444439797760
79,2022-12-16 13:01:46+00:00,1603737147005374465,Mac n Cheese 🧀 https://t.co/g9SM8clJqI,https://twitter.com/aimansalim_/status/1603737147005374465
81,2022-12-13 11:56:02+00:00,1602633442549719040,Buttermilk Chicken Low Cost 😍👍🏼 https://t.co/hFVE6DCCeI,https://twitter.com/aimansalim_/status/1602633442549719040
84,2022-12-07 07:18:37+00:00,1600389298683269120,Egg Biryani for lunch today 👍🏼 https://t.co/7ZfjOfJzsj,https://twitter.com/aimansalim_/status/1600389298683269120
86,2022-11-30 11:32:35+00:00,1597916498227769344,Garlic Fried Rice 😍 https://t.co/KZ3K44BBRS,https://twitter.com/aimansalim_/status/1597916498227769344
90,2022-11-29 11:20:19+00:00,1597551022700138497,Lauk Paling Perform 🍳 https://t.co/MpWd2f4LaG,https://twitter.com/aimansalim_/status/1597551022700138497
91,2022-11-24 11:43:04+00:00,1595744807435046913,Swedish Meatballs 🧆 https://t.co/jYWNR9560y,https://twitter.com/aimansalim_/status/1595744807435046913
92,2022-11-23 11:39:10+00:00,1595381441046511616,Chicken Teriyaki Rice 🍛 https://t.co/p7fFCW76pk,https://twitter.com/aimansalim_/status/1595381441046511616
93,2022-11-22 11:45:14+00:00,1595020576661405697,Coleslaw Ala-Ala KFC ❗️ https://t.co/qTP5Lp4MlJ,https://twitter.com/aimansalim_/status/1595020576661405697
94,2022-11-21 11:48:29+00:00,1594659007213494272,Nasi Goreng Sardin w/ Telur Dadar Crispy ❗️ https://t.co/stUzo7GQiN,https://twitter.com/aimansalim_/status/1594659007213494272
97,2022-11-13 12:11:25+00:00,1591765678402736130,Chimichurri Steak 🥩 https://t.co/pGNmGpmnY3,https://twitter.com/aimansalim_/status/1591765678402736130
98,2022-11-12 12:09:51+00:00,1591402896012513280,Philly Cheese Steak 🧀 https://t.co/pS5b66MQMJ,https://twitter.com/aimansalim_/status/1591402896012513280
102,2022-10-31 12:48:58+00:00,1587064082842013697,Sambal telur puyuh kegemaran isteriku 💕 https://t.co/MPnc04VbCS,https://twitter.com/aimansalim_/status/1587064082842013697
104,2022-10-30 11:53:48+00:00,1586687813889667072,Beef Stew 🥘 https://t.co/NMYPzhvWGQ,https://twitter.com/aimansalim_/status/1586687813889667072
110,2022-10-20 11:33:15+00:00,1583058762264240128,Nasi KFC Viral 🍗🍛 https://t.co/xCtQoP40G6,https://twitter.com/aimansalim_/status/1583058762264240128
112,2022-10-19 12:13:22+00:00,1582706469899640832,Nasi Goreng Cili Padi 🤤🌶️ https://t.co/UR1jz9nLJG,https://twitter.com/aimansalim_/status/1582706469899640832
113,2022-10-18 10:48:20+00:00,1582322682829283328,Ayam Goreng Kunyit 🍛 https://t.co/jR4sPNG6n3,https://twitter.com/aimansalim_/status/1582322682829283328
132,2022-09-28 07:51:10+00:00,1575030342095761410,Steak is life 🤤🥩 https://t.co/I5j9LlZtKD,https://twitter.com/aimansalim_/status/1575030342095761410
133,2022-09-27 11:46:06+00:00,1574727074488946689,Telur Masak Kicap 🍳 https://t.co/6GCMxFt5BN,https://twitter.com/aimansalim_/status/1574727074488946689
136,2022-09-23 13:16:06+00:00,1573300171559034882,Grilled Chicken Salad 🥗 https://t.co/wr5OGTpqeQ,https://twitter.com/aimansalim_/status/1573300171559034882
137,2022-09-23 12:24:30+00:00,1573287189273788417,The Ultimate Chicken Breast https://t.co/s2r74t1Y0G,https://twitter.com/aimansalim_/status/1573287189273788417
138,2022-09-22 11:48:11+00:00,1572915662300684288,Kuey Teow Goreng 🤤 https://t.co/t8tNhhzCBL,https://twitter.com/aimansalim_/status/1572915662300684288
145,2022-09-14 12:15:40+00:00,1570023473464086529,Mi Sedap Double 🤤 https://t.co/A9r6aZtvKG,https://twitter.com/aimansalim_/status/1570023473464086529
149,2022-09-12 11:39:54+00:00,1569289696022528002,Kari Ayam Mamak 🍛 https://t.co/3KPyoYCjSz,https://twitter.com/aimansalim_/status/1569289696022528002
151,2022-09-11 17:40:58+00:00,1569018176062763008,Tengah pagi buta layan tomahawk 🥩 https://t.co/0IxF8Qow7G,https://twitter.com/aimansalim_/status/1569018176062763008
154,2022-09-07 15:41:23+00:00,1567538530787926016,Maggi Crabstick 🍜🦀 https://t.co/KFdwIpKW0F,https://twitter.com/aimansalim_/status/1567538530787926016
169,2022-08-22 11:36:04+00:00,1561678586481766400,Sayur Campur Kambing Perap 🥦🌶🥩 https://t.co/XdaGUTUBuL,https://twitter.com/aimansalim_/status/1561678586481766400
171,2022-08-21 12:50:09+00:00,1561334844331663360,Double Cheeseburger 🍔🧀 https://t.co/7StCiHFsZQ,https://twitter.com/aimansalim_/status/1561334844331663360
172,2022-08-19 16:52:25+00:00,1560671035510247424,Tengah malam lapaq burger https://t.co/KxTQqiDupn,https://twitter.com/aimansalim_/status/1560671035510247424
173,2022-08-17 12:44:10+00:00,1559883784081666048,Mee Goreng Udang 🦐 https://t.co/001nHI7K91,https://twitter.com/aimansalim_/status/1559883784081666048
176,2022-08-16 10:09:10+00:00,1559482389746688000,Tomahawk Steak 🥩🔥 https://t.co/RnbaWOkh3l,https://twitter.com/aimansalim_/status/1559482389746688000
178,2022-08-15 19:06:51+00:00,1559255314402119680,"Bosan tak tahu nak buat apa, tengah pagi buta masak tomahawk 🙃 https://t.co/RFpHFjFvIE",https://twitter.com/aimansalim_/status/1559255314402119680
179,2022-08-13 18:36:06+00:00,1558522800628834304,https://t.co/cxrmiss1ti,https://twitter.com/aimansalim_/status/1558522800628834304
180,2022-08-12 20:59:59+00:00,1558196623016005633,https://t.co/CN5z6zuGlo,https://twitter.com/aimansalim_/status/1558196623016005633
181,2022-08-12 11:15:48+00:00,1558049608424599553,"Lama tak buat q&amp;a, nah. https://t.co/e8MyZobllD",https://twitter.com/aimansalim_/status/1558049608424599553
182,2022-08-07 14:59:49+00:00,1556294043331543040,https://t.co/BvTkszKt71,https://twitter.com/aimansalim_/status/1556294043331543040
183,2022-08-07 14:57:10+00:00,1556293379591245824,jom balik rumah https://t.co/8ggziTUpFv,https://twitter.com/aimansalim_/status/1556293379591245824
184,2022-08-07 04:44:22+00:00,1556139159810543618,"Bayangkan hari tengah hujan, ada nasi putih panas. Korang nak makan dengan lauk apa? https://t.co/V0wQzllnwj",https://twitter.com/aimansalim_/status/1556139159810543618
185,2022-08-06 13:55:17+00:00,1555915418270724100,"Gais, nak minta tolong korang pi dengar podcast @3budakbesar di Spotify sekarang! 🙋🏻‍♂️

Bosan-bosan ke bolehlah dengar kami berbual iye dok 🙋🏻‍♂️

https://t.co/uaZs4DbE35 https://t.co/mlbb0mKEyt",https://twitter.com/aimansalim_/status/1555915418270724100
186,2022-08-04 05:02:10+00:00,1555056477634605057,Editkan https://t.co/GiXTI1dm9a,https://twitter.com/aimansalim_/status/1555056477634605057
187,2022-08-03 09:22:30+00:00,1554759604554174464,Comelnya dia eeeeeeee https://t.co/ZtnRFmCSGi,https://twitter.com/aimansalim_/status/1554759604554174464
188,2022-08-03 08:41:24+00:00,1554749262512025600,Ateeeee cuaca harini panaih bebenau. Kalau teman dapat minum ayo sirap ais suam pun cagheee jugak ni. https://t.co/cZbxJ08WPv,https://twitter.com/aimansalim_/status/1554749262512025600
189,2022-08-02 15:31:56+00:00,1554490189250191364,"Nak layan bidin waknat makan nasi tomato aku, sambil2 lawan fifa? Pi tengok, tekan je link bawah ni

https://t.co/5EzyTEjRlL https://t.co/Fv1TcTPQXQ",https://twitter.com/aimansalim_/status/1554490189250191364
190,2022-08-02 12:08:40+00:00,1554439032838320128,"JNC Burger Bangi 🍔🔥

Kalau korang nak merasa burger premium tetapi harganya masih berbaloi, boleh try makan burger sini! Sekali sekala apa salahnya kannn.

Kedai tak bayar aku sesen pun, aku beli guna duit sendiri dan aku bagi review jujur. Memang totally worth it 👍🏼 https://t.co/KyBUkKhdAE",https://twitter.com/aimansalim_/status/1554439032838320128
191,2022-08-01 09:47:18+00:00,1554041072275230720,Namakan satu lauk ayam yang korang teringin sangat nak makan sekarang. https://t.co/kpl9F6hQdr,https://twitter.com/aimansalim_/status/1554041072275230720
192,2022-07-31 15:41:09+00:00,1553767730800521216,butter chicken baby. https://t.co/8ypPSzEdA3,https://twitter.com/aimansalim_/status/1553767730800521216
193,2022-07-30 12:04:08+00:00,1553350728923484160,Buttermilk Chicken 🍲 https://t.co/fFQo2LteZ7,https://twitter.com/aimansalim_/status/1553350728923484160
194,2022-07-29 21:08:43+00:00,1553125390918422529,https://t.co/EMOiagwQMk,https://twitter.com/aimansalim_/status/1553125390918422529
195,2022-07-29 11:16:32+00:00,1552976363912499200,Makan megi dengan wambut bawu https://t.co/iMsM5aFjUq,https://twitter.com/aimansalim_/status/1552976363912499200
196,2022-07-28 13:13:59+00:00,1552643533378506752,Namakan satu lauk yang korang teringin nak makan dengan nasi putih ini. https://t.co/XUV0Ud2Grm,https://twitter.com/aimansalim_/status/1552643533378506752
197,2022-07-21 11:43:44+00:00,1550084103696896000,Bubur Ayam 🍲 https://t.co/i3KUSPnfae,https://twitter.com/aimansalim_/status/1550084103696896000
198,2022-07-18 12:43:02+00:00,1549011864482246656,Editkan https://t.co/nlcQFewYxS,https://twitter.com/aimansalim_/status/1549011864482246656
199,2022-07-01 11:37:32+00:00,1542834788549025792,Sambal Belacan Kedai Tomyam 🦐🦑 https://t.co/EE9q2EjoZu,https://twitter.com/aimansalim_/status/1542834788549025792
200,2022-06-30 11:46:38+00:00,1542474691218001921,https://t.co/rSVNM6LsZn,https://twitter.com/aimansalim_/status/1542474691218001921
201,2022-06-27 13:09:53+00:00,1541408476999471104,Semuanya ok. https://t.co/EGYauiK1Sb,https://twitter.com/aimansalim_/status/1541408476999471104
202,2022-06-27 12:43:51+00:00,1541401927107284992,kenapa pakcik tarik tangan? https://t.co/aqHFnZBcXO,https://twitter.com/aimansalim_/status/1541401927107284992
203,2022-06-22 11:31:51+00:00,1539571867878432768,Aglio Olio Lamb Chop 🍝🥩 https://t.co/wQQl6w6QCZ,https://twitter.com/aimansalim_/status/1539571867878432768
204,2022-06-21 12:39:55+00:00,1539226607461597184,Pahlawan yang tersakiti. https://t.co/1eab9zdIyt,https://twitter.com/aimansalim_/status/1539226607461597184
205,2022-06-13 12:45:57+00:00,1536329022115721216,"6. Boxer

Pakailah boxer, baru tak kepam seluar yang kita pakai. Boxer Wearly Good ini selesa dan flexible. Sampai saiz pinggang 60"".

Boxer tu tukarlah hari2, janganlah seminggu pakai boxer sama je. Tak encem macamtu.

https://t.co/wdnmFt40nT

On shopee                    On him https://t.co/5Au45fmROb",https://twitter.com/aimansalim_/status/1536329022115721216
206,2022-06-13 12:45:55+00:00,1536329016717627392,"5. Khaki Pants

Aku beli kat BigPlayerClothing dulu, tapi maybe dia dah update listing baru, so tu yang 0 sold. Tapi aku memang beli kat situ tau, so jangan risau

Selesa ya amat, boleh pakai formal atau casual. Fav gila!😍

https://t.co/O45jaXJpF8

On shopee               On him https://t.co/W5gtN9Ry1w",https://twitter.com/aimansalim_/status/1536329016717627392
207,2022-06-13 12:45:54+00:00,1536329011462254592,"4. Jeans

Jeans kat Azy Jeans&amp;Co memang best. Kain selesa, stretchable, dan ada sampai pinggang 58"". Warna pun cantik!

Bila seluar dah sampai, bawa pergi alter dulu. Bagi cutting dia cantik ikut kaki kita, baru ranggi 😎

https://t.co/Kd70WKfhfk

On shopee                 On him https://t.co/HuzhDbNB7K",https://twitter.com/aimansalim_/status/1536329011462254592
208,2022-06-13 12:45:52+00:00,1536329003375546368,"3. Kemeja 

Bagi aku, Bob Rock LoveLily paling best. Ada sampai 6XL dan kain sangat selesa.

Cuma stok habis laju 😭, so korang rajinlah chat dia tanya bila stok baru nak masuk. Tapi kalau dapat sehelai, memang syok.

https://t.co/UanOaLznjO

On shopee                    On me https://t.co/ADAWN0fMDu",https://twitter.com/aimansalim_/status/1536329003375546368
209,2022-06-13 12:45:50+00:00,1536328994143907840,"2. T-Shirt Polo

Rightway ada baju-baju plain size besar, daripada T-Shirt biasa, ke T-Shirt Polo. Rambang mata nak shopping kat situ. Saiz sampai 7XL.

Kain selesa, pilihan warna pun banyak 👍🏼

https://t.co/LT2xnju7mC

On shopee                        On him https://t.co/JDUW0V37TP",https://twitter.com/aimansalim_/status/1536328994143907840
210,2022-06-13 12:45:49+00:00,1536328989274349570,"1. T-Shirt

Aku selalu shopping T-Shirt kat AttireLab. Kain tebal sedap, printing superb. Plain pun ada. 

Saiz sampai 8XL pun ada weh 😎

https://t.co/BNUI8UMhPT

On shopee                        On him https://t.co/WEn4JxFH9B",https://twitter.com/aimansalim_/status/1536328989274349570
211,2022-06-13 12:45:47+00:00,1536328980562792449,"Sebagai seorang yang berbadan besar, aku faham yang kita ini sangat susah nak shopping pakaian sebab takda size.

Tapi takpa, kalini aku nak share kat korang pakaian plus size yang stylo mylo yang boleh beli kat @ShopeeMY 👍🏼

Mai layan thread ini 😎 https://t.co/VmtTY64nAS",https://twitter.com/aimansalim_/status/1536328980562792449
212,2022-06-12 05:27:03+00:00,1535856181121495040,"10. Yves Saint Laurent Y

Bau luxury dan gentleman, seakan-akan kau seorang anak CEO yang sentiasa pakai suit &amp; tie.

Bau yang attractive, tapi sesuai pakai ke office. Rambut kena sikat rapi, baju kena iron. Barulah performance up 100%.

6-8 hours.

https://t.co/OFO3z7LGEf https://t.co/G9bCqQXFzM",https://twitter.com/aimansalim_/status/1535856181121495040
213,2022-06-12 05:27:02+00:00,1535856176675508225,"9. Armaf Club De Nuit Intense

Orang kata dupe Creed Aventus, tapi sekali lagi aku tak pernah bau Creed Aventus

Bau citrus dia quite strong, a bit more on acidic side. Tapi bila dah sejam dua, bau dia jadi sangat pleasing dan sexy

Ini 10-12 jam ez ggwp

https://t.co/lolNU7xtaZ https://t.co/zx7nhC3Elm",https://twitter.com/aimansalim_/status/1535856176675508225
214,2022-06-12 05:27:01+00:00,1535856174523854848,"8. Moschino Toy Boy

Bau rose yang membuatkan kau rasa macam lelaki jambu yang penuh karisma, macam Shawn Michaels muda-muda dulu.

Pakai perfume ini pergi majlis formal suit &amp; tie memang jadi. Sexy tapi still on a professional side.

8-10 hours ez

https://t.co/oGt1uusmP0 https://t.co/XfF7gsqCel",https://twitter.com/aimansalim_/status/1535856174523854848
215,2022-06-12 05:26:59+00:00,1535856168190484482,"7. Bvlgari Man Wood Neroli

Antara perfume bau kayu yang paling kuat pernah aku pakai. Feeling macam kau seorang lumberjack badan sado duduk dalam hutan tengah potong kayu. Sexy nak mampus. Nak pakai perfume ini, kena berjambang baru jadi 😂

5-6 hours

https://t.co/idI1gWG41K https://t.co/vJjnm2ieps",https://twitter.com/aimansalim_/status/1535856168190484482
216,2022-06-12 05:26:58+00:00,1535856163517915136,"6. Jean Paul Gaultier Ultra Male

Bau sangat sexy dan sweet macam bubblegum. Kalau orang sana suka pakai pergi clubbing. Makin peluh, makin kuat. 

Orang dah kahwin pakai ini, memang membantu dalam proses pembuatan anak. 

Ladies 100% approve

6-8 hours

https://t.co/YljmtRuBws https://t.co/grT1RWC1vy",https://twitter.com/aimansalim_/status/1535856163517915136
